straekn_nr,rute_ty_k,rute_ty,rute_uty_k,rute_uty,navn,navndels,afm_rute_k,afm_rute,laengde,beskrivels,lang_beskr,uk_k_beskr,uk_l_beskr,d_k_beskr,d_l_beskr,ansvar_org,kontak_ved,betaling_k,betaling,belaegn_k,belaegn,handicap_k,handikap,ansva_v_k,ansva_v,startpkt_x,startpkt_y,slutpkt_x,slutpkt_y,svaerhed_k,svaerhed,obs,kategori_k,kategori,certifi_k,certifi,hierarki_k,hierarki,folder_k,folder,folde_link,foto_link1,foto_link2,filmlink,gpx_link,adr_id,link,temakode,temanavn,cvr_kode,cvr_navn,kommunekode,bruger_id,oprindkode,oprindelse,statuskode,status,off_kode,offentlig,versions_id,systid_fra,systid_til,oprettet
,"3",Cykelrute,"8",Andet,Limfjordsruten,Vesthimmerland,"0",,7.3,,,,,,,,,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"523889","6317797","0","0","9",Ukendt,,"2",Regional,"0","0","1",Hovedrute,"1",Ja,,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c51250bc-7f0a-11ea-b0c4-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2017-11-01 17:14:41.568873+01
,"5",Vandrerute,"8",Andet,Vindblæs hede,Vindblæs,"1",Ja,0,,,,,,,Vesthimmerlands Kommune,gmun@vesthimmerland.dk,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"522898","6307938","0","0","3",Middel/Moderat,,"1",Lokal,"0","0","4",Adgangssti,"1",Ja,http://www.naturturist.dk/hederne/himmerland.htm,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c512a300-7f0a-11ea-b0c8-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 14:52:07.958906+02
,"4",Mountainbikerute,"8",Andet,Uhrehøje Mountainbike ruter,Uhrehøje Plantage,"1",Ja,0.7,,,,,,,Vesthimmerlands Kommune,gmun@vesthimmerland.dk,"0",,"9",Ukendt,"3",Ikke handicapegnet,"2",Kommune,"516233","6295248","0","0","3",Middel/Moderat,,"1",Lokal,"0","0","2",Sløjfe,"0",,,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"3",Opmåling,"3",Gældende / Vedtaget,"1",Synlig for alle,c51338d8-7f0a-11ea-b0d3-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2019-03-22 10:08:46.391599+01
,"3",Cykelrute,"8",Andet,Himmerlandsstien,Vesthimmerland,"0",,45.3,,,,,,,,,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"515182","6313957","0","0","9",Ukendt,,"2",Regional,"0","0","1",Hovedrute,"1",Ja,,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c51693ca-7f0a-11ea-b10e-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2017-11-01 17:14:41.568873+01
,"5",Vandrerute,"8",Andet,Sønderlund,Sønderlund,"1",Ja,2.1,,,,,,,,,"0",,"9",Ukendt,"9",Ukendt,"1",Privat/forening,"0","0","0","0","9",Ukendt,,"1",Lokal,"0","0","1",Hovedrute,"1",Ja,,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c51a38e0-7f0a-11ea-b144-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2017-11-01 17:14:41.568873+01
,"5",Vandrerute,"8",Andet,Aars Skov,Aars Skov,"0",Nej,0.1,,,,,,,,,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"0","0","0","0","9",Ukendt,,"1",Lokal,"0","0","4",Adgangssti,"1",Ja,,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c51a4650-7f0a-11ea-b145-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2017-11-01 17:14:41.568873+01
,"5",Vandrerute,"8",Andet,Aars Skov,Aars Skov,"0",Nej,0.5,,,,,,,,,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"0","0","0","0","9",Ukendt,,"1",Lokal,"0","0","4",Adgangssti,"1",Ja,,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c51a5992-7f0a-11ea-b146-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2017-11-01 17:14:41.568873+01
,"5",Vandrerute,"8",Andet,Aars Skov,Aars Skov,"0",Nej,0.7,,,,,,,,,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"0","0","0","0","9",Ukendt,,"1",Lokal,"0","0","4",Adgangssti,"1",Ja,,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c51a66da-7f0a-11ea-b147-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2017-11-01 17:14:41.568873+01
,"5",Vandrerute,"8",Andet,Sti til Vilsted Sø fra Markedspladsen,Ranum,"0",Nej,2,,,,,,,,,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"0","0","0","0","9",Ukendt,,"1",Lokal,"0","0","1",Hovedrute,"0",Nej,,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c51a73d2-7f0a-11ea-b148-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2017-11-01 17:14:41.568873+01
,"5",Vandrerute,"8",Andet,Kelddal Mølle,Kelddal Mølle,"1",Ja,3.3,,,,,,,,,"0",,"9",Ukendt,"9",Ukendt,"1",Privat/forening,"0","0","0","0","9",Ukendt,,"1",Lokal,"0","0","4",Adgangssti,"0",Nej,,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c51a8188-7f0a-11ea-b149-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2017-11-01 17:14:41.568873+01
