"id","Pplads_type","X","Y"
"1","Natur parkeringspladser",9.526287,56.810157
"2","Natur parkeringspladser",9.24739,56.964254
"3","Natur parkeringspladser",9.482941,56.902501
"4","Natur parkeringspladser",9.178294,56.681572
"5","Natur parkeringspladser",9.539473,56.804078
"6","Natur parkeringspladser",9.287205,56.801774
"7","Natur parkeringspladser",9.265825,56.801168
"8","Natur parkeringspladser",9.571573,56.856298
"9","Natur parkeringspladser",9.375726,56.914669
"10","Natur parkeringspladser",9.37509,56.914017
"11","Natur parkeringspladser",9.376246,56.913292
"12","Natur parkeringspladser",9.380974,56.908516
"13","Natur parkeringspladser",9.432492,56.921155
"14","Natur parkeringspladser",9.423602,56.927115
"15","Natur parkeringspladser",9.236663,56.800896
"16","Natur parkeringspladser",9.259202,56.798409
"17","Natur parkeringspladser",9.265838,56.801059
"18","Natur parkeringspladser",9.287102,56.80173
"19","Natur parkeringspladser",9.228811,56.703334
"20","Natur parkeringspladser",9.229685,56.703141
"21","Natur parkeringspladser",9.231617,56.716442
"22","Natur parkeringspladser",9.207321,56.692973
"23","Natur parkeringspladser",9.204887,56.681282
"24","Natur parkeringspladser",9.191412,56.687219
"25","Natur parkeringspladser",9.181462,56.693302
"26","Natur parkeringspladser",9.178342,56.681522
"27","Natur parkeringspladser",9.495245,56.930427
"28","Natur parkeringspladser",9.318882,56.68779
"29","Natur parkeringspladser",9.533799,56.720176
"30","Natur parkeringspladser",9.498637,56.723883
"31","Natur parkeringspladser",9.515305,56.689474
"32","Natur parkeringspladser",9.610555,56.880169
"33","Parkering",0,0
"34","Parkering",0,0
"35","Parkering",0,0
"36","Parkering",0,0
"37","Parkering",0,0
"38","Parkering",0,0
"39","Parkering",0,0
"40","Parkering",0,0
"41","Parkering",0,0
"42","Parkering",0,0
"43","Parkering",0,0
"44","Parkering",0,0
"45","Parkering",0,0
"46","Parkering",0,0
"47","Parkering",0,0
"48","Parkering",0,0
"49","Parkering",0,0
"50","Parkering",0,0
"51","Parkering",0,0
"52","Parkering",0,0
"53","Parkering",0,0
"54","Parkering",0,0
"55","Parkering",0,0
"56","Parkering",0,0
